product,rating,price,brand,gender,sentence_vector
  (0, 683)	0.13636872245658024
  (0, 707)	0.056425690832420564
  (0, 708)	0.09248636565025231
  (0, 732)	0.055090442056959295
  (0, 849)	0.12222946673719234
  (0, 931)	0.11755567299077592
  (0, 990)	0.19674927538035697
  (0, 1067)	0.17702778175455558
  (0, 1231)	0.06348724668266054
  (0, 1241)	0.0826241138299258
  (0, 1257)	0.1529309967554961
  :	:
  (0, 1661)	0.09548066380821096
  (0, 1671)	0.1477757375320565
  (0, 1697)	0.05780877946933149
  (0, 1718)	0.14991607300446302
  (0, 1773)	0.04580331873789129
  (0, 1800)	0.12862325759540277
  (0, 1803)	0.12617059738011674
  (0, 1827)	0.09838968672549585
  (0, 1833)	0.07860110864237906
  (0, 1848)	0.13132585660355636
  (0, 1909)	0.17702778175455558
  (0, 1915)	0.16403756599195665
  (0, 1976)	0.1204167665468819
  (0, 1981)	0.12101533815667716
  (0, 1989)	0.1600699173544179
  (0, 1992)	0.25481733503357384
  (0, 2064)	0.07880271273220395
  (0, 2083)	0.12757464649067954
  (0, 2144)	0.08445201002800651
  (0, 2202)	0.07880271273220395
  (0, 2235)	0.09306693441734734
  (0, 2254)	0.19674927538035697
  (0, 2293)	0.1268662395423046
  (0, 2314)	0.145435196969692
  (0, 2362)	0.13727716661657732"
New Balance Women's 877 V1 Walking,4.3,75.0,New Balance,Women,"  (0, 103)	0.07551811283026488
  (0, 106)	0.044162591542252626
  (0, 111)	0.06720432339021486
  (0, 171)	0.34093362782688597
  (0, 200)	0.17046681391344298
  (0, 220)	0.08136315633368275
  (0, 231)	0.1599947691093792
  (0, 355)	0.13811140361398092
  (0, 360)	0.058811786766755136
  (0, 399)	0.17046681391344298
  (0, 464)	0.03481508565912139
  (0, 473)	0.0958164877970595
  (0, 593)	0.08095641973301636
  (0, 644)	0.07393312230166117
  (0, 707)	0.03774746226664828
  (0, 708)	0.06187120699914294
  (0, 732)	0.07370842437619603
  (0, 766)	0.10305595325696482
  (0, 801)	0.17046681391344298
  (0, 815)	0.1599947691093792
  (0, 849)	0.08176864324510358
  (0, 853)	0.14209269027329388
  (0, 854)	0.15256473507735765
  (0, 906)	0.10973727997383183
  (0, 931)	0.07864198497150063
  :	:
  (0, 1557)	0.08440017051776205
  (0, 1595)	0.04046021947649718
  (0, 1596)	0.08582720920511222
  (0, 1621)	0.24041864955579118
  (0, 1628)	0.1599947691093792
  (0, 1637)	0.05258229609286729
  (0, 1661)	0.0638743221593688
  (0, 1671)	0.09885849856910169
  (0, 1685)	0.10230724594181026
  (0, 1697)	0.03867271608920721
  (0, 1773)	0.09192403426024547
  (0, 1800)	0.043022969600100935
  (0, 1839)	0.17046681391344298
  (0, 1903)	0.1599947691093792
  (0, 1960)	0.060192311622293965
  (0, 1975)	0.13811140361398092
  (0, 1989)	0.10708301619746773
  (0, 2045)	0.1599947691093792
  (0, 2091)	0.29450988367800185
  (0, 2195)	0.07215122682674986
  (0, 2235)	0.06225959387231742
  (0, 2239)	0.0958164877970595
  (0, 2265)	0.05453772351080923
  (0, 2311)	0.06917306587797713
  (0, 2314)	0.0972927318898101"
New Balance Women's DynaSoft Nergize Sport V2 Cross Trainer,4.1,37.0,New Balance,Women,"  (0, 99)	0.07855834663267314
  (0, 106)	0.08655857736885213
  (0, 111)	0.06586015927221732
  (0, 149)	0.28830708962207213
  (0, 220)	0.07973579919721192
  (0, 233)	0.11144406390612768
  (0, 279)	0.10026098281365335
  (0, 348)	0.05744353681865758
  (0, 358)	0.08317302660833344
  (0, 359)	0.15132508896059732
  (0, 360)	0.028817741539126543
  (0, 385)	0.0912333025406402
  (0, 415)	0.11442523094788487
  (0, 456)	0.07671003185191498
  (0, 464)	0.03411874371938817
  (0, 481)	0.0704284402143346
  (0, 485)	0.16705728067193762
  (0, 515)	0.07275749979880575
  (0, 543)	0.1263213356900087
  (0, 581)	0.05431478530213477
  (0, 583)	0.07400766331742728
  (0, 628)	0.1319692475225691
  (0, 636)	0.0925315699680261
  (0, 644)	0.07245437443074837
  (0, 687)	0.10754240758011688
  :	:
  (0, 1637)	0.05153058941561139
  (0, 1649)	0.13925067228903265
  (0, 1697)	0.075798434167266
  (0, 1718)	0.049142205105161874
  (0, 1773)	0.12011392981712102
  (0, 1800)	0.12648738149362773
  (0, 1827)	0.0645039063310176
  (0, 1833)	0.10306117883122277
  (0, 1848)	0.08609673467942182
  (0, 1888)	0.14951326409725338
  (0, 1960)	0.11797679168315021
  (0, 1965)	0.06804137413339553
  (0, 1989)	0.20988246429221596
  (0, 2029)	0.1217066557143484
  (0, 2091)	0.07215483642939102
  (0, 2144)	0.11073283645085694
  (0, 2195)	0.07070811892419877
  (0, 2215)	0.10754240758011688
  (0, 2235)	0.061014330057988876
  (0, 2252)	0.14386535226469296
  (0, 2265)	0.053446906025826205
  (0, 2279)	0.09187411311502966
  (0, 2294)	0.06704867177388187
  (0, 2333)	0.1319692475225691
  (0, 2347)	0.16705728067193762"
New Balance Women's Dynasoft Nitrel V5,4.2,75.0,New Balance,Women,"  (0, 12)	0.27556867634809534
  (0, 106)	0.0713911794091462
  (0, 259)	0.11663629780535664
  (0, 359)	0.12480885087857904
  (0, 360)	0.09507238306929539
  (0, 458)	0.11710279549066631
  (0, 464)	0.05628043870697969
  (0, 615)	0.21277177779866627
  (0, 644)	0.1195168266668939
  (0, 707)	0.12204156308807085
  (0, 732)	0.1191535905127294
  (0, 766)	0.08329771636147604
  (0, 849)	0.06609168162570991
  (0, 850)	0.23731252260586722
  (0, 901)	0.14946258928242317
  (0, 1011)	0.27556867634809534
  (0, 1114)	0.09730407496505435
  (0, 1130)	0.14651422757334703
  (0, 1143)	0.09313938507858073
  (0, 1206)	0.15374851400411982
  (0, 1231)	0.13731480655364894
  (0, 1314)	0.06664837131941191
  (0, 1412)	0.12480885087857904
  (0, 1493)	0.09730407496505435
  (0, 1595)	0.13081219587471274
  (0, 1637)	0.08500207988290667
  (0, 1661)	0.10325624094216149
  (0, 1718)	0.16212465998712827
  (0, 1772)	0.22970039551061044
  (0, 1773)	0.1486000932623472
  (0, 1800)	0.20864675967870394
  (0, 1827)	0.10640216347006505
  (0, 1921)	0.18157474825286274
  (0, 1981)	0.13087036072039157
  (0, 1989)	0.1731053942727018
  (0, 2064)	0.08522010183252045
  (0, 2080)	0.2969129795848693
  (0, 2172)	0.21277177779866627
  (0, 2235)	0.10064594673586212
  (0, 2318)	0.2466290132225546
  (0, 2340)	0.12261091665123625"
New Balance Women's Dynasoft Nitrel V6 Gore-tex,4.2,89.0,New Balance,Women,"  (0, 8)	0.07392878245121187
  (0, 36)	0.1253654321265746
  (0, 83)	0.07981985876351902
  (0, 106)	0.03247824163203478
  (0, 116)	0.09679701706871327
  (0, 149)	0.0721184628614585
  (0, 259)	0.053061763295411075
  (0, 286)	0.1253654321265746
  (0, 348)	0.08621514473579608
  (0, 359)	0.05677973175677453
  (0, 360)	0.04325161533138028
  (0, 388)	0.09479580160701266
  (0, 456)	0.05756580169914173
  (0, 464)	0.051207717889250375
  (0, 466)	0.06500154320955297
  (0, 481)	0.05285188293474856
  (0, 498)	0.07330597323269114
  (0, 500)	0.11219980887283432
  (0, 526)	0.09479580160701266
  (0, 579)	0.1859709640345186
  (0, 642)	0.18959160321402532
  (0, 644)	0.05437221247368969
  (0, 655)	0.13000308641910593
  (0, 707)	0.05552079973927111
  (0, 708)	0.0455015872214212
  :	:
  (0, 1671)	0.07270293911161348
  (0, 1697)	0.14220426993178717
  (0, 1700)	0.08586856236535376
  (0, 1718)	0.03687797235703635
  (0, 1773)	0.06760316576166696
  (0, 1800)	0.09492040799255765
  (0, 1826)	0.1253654321265746
  (0, 1848)	0.06460990089362723
  (0, 1854)	0.07897554290191582
  (0, 2064)	0.03876948219836547
  (0, 2091)	0.10829485805837635
  (0, 2120)	0.13599108825038436
  (0, 2123)	0.07816716646329323
  (0, 2127)	0.18266557943406703
  (0, 2136)	0.1044984129707738
  (0, 2140)	0.1253654321265746
  (0, 2144)	0.041548832341896574
  (0, 2160)	0.2159228497215059
  (0, 2248)	0.07897554290191582
  (0, 2252)	0.10796142486075296
  (0, 2261)	0.10157047813697105
  (0, 2279)	0.0689454410222916
  (0, 2294)	0.050315590416871545
  (0, 2326)	0.33659942661850295
  (0, 2340)	0.05577981776855131"
New Balance Women's Dynasoft Tektrel V1,4.2,56.0,New Balance,Women,"  (0, 48)	0.1369829758500586
  (0, 53)	0.1492937857512695
  (0, 83)	0.10127656058134354
  (0, 106)	0.041208850243238254
  (0, 111)	0.1254189485522324
  (0, 188)	0.0887476511965915
  (0, 220)	0.07592131728646494
  (0, 259)	0.06732551232471876
  (0, 338)	0.15906542529960233
  (0, 348)	0.10939098946207161
  (0, 360)	0.05487825847108006
  (0, 415)	0.10895124087092814
  (0, 435)	0.1325890576083781
  (0, 529)	0.11216932452602199
  (0, 565)	0.1492937857512695
  (0, 615)	0.12281741806004527
  (0, 620)	0.1325890576083781
  (0, 644)	0.06898822869190636
  (0, 707)	0.03522278619270657
  (0, 708)	0.05773305448247309
  (0, 732)	0.10316783896879013
  (0, 832)	0.10749019788523634
  (0, 844)	0.1492937857512695
  (0, 855)	0.18760376003188595
  (0, 877)	0.15906542529960233
  :	:
  (0, 1641)	0.1325890576083781
  (0, 1661)	0.059602194625182583
  (0, 1671)	0.27673953818411023
  (0, 1697)	0.0721723119122063
  (0, 1700)	0.10895124087092814
  (0, 1718)	0.04679129053084088
  (0, 1751)	0.1369829758500586
  (0, 1773)	0.0857758485020179
  (0, 1800)	0.3211636001159399
  (0, 1803)	0.0787598682402392
  (0, 1828)	0.15906542529960233
  (0, 1854)	0.1002052807290353
  (0, 1981)	0.07554178458514535
  (0, 1989)	0.09992094720831277
  (0, 2039)	0.12565596901381954
  (0, 2056)	0.15906542529960233
  (0, 2064)	0.04919126484804839
  (0, 2120)	0.08627370369394581
  (0, 2123)	0.09917960132259532
  (0, 2148)	0.09461890159555462
  (0, 2178)	0.12887405266891339
  (0, 2198)	0.11050660815883438
  (0, 2265)	0.05089005880947528
  (0, 2303)	0.12887405266891339
  (0, 2311)	0.06454654070524718"
New Balance Women's Fresh Foam 510 V6,4.1,60.0,New Balance,Women Women,"  (0, 99)	0.20190883490578385
  (0, 106)	0.11123542091183894
  (0, 111)	0.16927224916711908
  (0, 259)	0.09086618113998605
  (0, 348)	0.1476400419442991
  (0, 360)	0.07406668887760247
  (0, 464)	0.08769120135689755
  (0, 537)	0.18030257100700475
  (0, 581)	0.13959859758492807
  (0, 683)	0.22978104408486463
  (0, 707)	0.09507718426277405
  (0, 708)	0.15583935436145221
  (0, 732)	0.09282729255585263
  (0, 829)	0.10276316117546211
  (0, 883)	0.28291371169420393
  (0, 931)	0.1980810906732667
  (0, 1231)	0.2139517855123995
  (0, 1264)	0.1704769666364663
  (0, 1292)	0.18699963332635627
  (0, 1595)	0.10190999636757236
  (0, 1599)	0.16959214490133323
  (0, 1637)	0.13244272208991595
  (0, 1697)	0.19481537209478653
  (0, 1718)	0.25260830459885325
  (0, 1773)	0.07717850701062025
  (0, 1800)	0.2167299501781173
  (0, 1848)	0.22128382448777784
  (0, 1904)	0.35789883833975733
  (0, 1989)	0.1348587567357581
  (0, 2144)	0.14230148005881252
  (0, 2294)	0.17232693634891674
  (0, 2332)	0.17894941916987867"
New Balance Women's Fresh Foam Arishi V4,3.6,76.0,New Balance,Women,"  (0, 360)	0.25119873805482157
  (0, 766)	0.22008790100065306
  (0, 849)	0.1746263897497822
  (0, 1154)	0.4293670124315613
  (0, 1697)	0.16518011121288761
  (0, 1773)	0.26175253490892336
  (0, 2235)	0.26592511930571855
  (0, 2311)	0.29545415657653895
  (0, 2340)	0.6479212267580687"
New Balance Women's Fresh Foam Arishi V4 Tiralux,4.2,52.0,New Balance,Women,"  (0, 466)	0.3437529429140619
  (0, 636)	0.3672189483861342
  (0, 849)	0.15900746413198014
  (0, 876)	0.41765278100012077
  (0, 1114)	0.23410017462595004
  (0, 1156)	0.23270504935751743
  (0, 1354)	0.3319219426790528
  (0, 1697)	0.30081215842157644
  (0, 1800)	0.16732510224080227
  (0, 1827)	0.25598891986658123
  (0, 1981)	0.31485602539264246
  (0, 2265)	0.2121083283475939"
New Balance Women's Fresh Foam Garoe Mid V1,4.2,69.0,New Balance,Women,"  (0, 93)	0.2825572826219256
  (0, 250)	0.2455884001885671
  (0, 304)	0.2455884001885671
  (0, 360)	0.08472905835861066
  (0, 464)	0.10031490579501331
  (0, 466)	0.12733673657746844
  (0, 515)	0.10695970810394162
  (0, 537)	0.10312913465259364
  (0, 583)	0.10879755472324161
  (0, 704)	0.17318336092643516
  (0, 707)	0.05438207388536988
  (0, 732)	0.10619036988725258
  (0, 766)	0.07423540720112518
  (0, 829)	0.05877828489632956
  (0, 1065)	0.2455884001885671
  (0, 1149)	0.2455884001885671
  (0, 1231)	0.12237575079511134
  (0, 1257)	0.14739216555842524
  (0, 1427)	0.0830063593552317
  (0, 1568)	0.185703099062856
  (0, 1595)	0.05829029325060701
  (0, 1637)	0.07575434584144859
  (0, 1661)	0.09202255988789537
  (0, 1679)	0.21149429443086598
  (0, 1697)	0.11143014006371453
  (0, 1707)	0.2455884001885671
  (0, 1718)	0.0722432179248471
  (0, 1773)	0.04414442122112156
  (0, 1965)	0.10002660256913509
  (0, 1981)	0.11663242334851749
  (0, 1989)	0.15427252983478584
  (0, 2080)	0.13230528341936626
  (0, 2091)	0.10607374173269757
  (0, 2123)	0.30625586389095666
  (0, 2261)	0.39794911258889015
  (0, 2294)	0.09856724573442677"
New Balance Women's Fresh Foam Garoe V1,4.3,68.0,New Balance,Women,"  (0, 0)	0.19003992836415395
  (0, 106)	0.06376397641224978
  (0, 111)	0.09703268630317992
  (0, 259)	0.10417525251193838
  (0, 348)	0.08463235968245343
  (0, 360)	0.04245757838474843
  (0, 464)	0.10053523687054158
  (0, 537)	0.10335564688401355
  (0, 581)	0.08002272666944273
  (0, 599)	0.23100779024286017
  (0, 689)	0.1994115828523995
  (0, 707)	0.05450151835609596
  (0, 708)	0.08933248810627975
  (0, 732)	0.10642360579793383
  (0, 762)	0.16419208536467234
  (0, 766)	0.07439845741765358
  (0, 776)	0.23100779024286017
  (0, 883)	0.16217588868089827
  (0, 915)	0.16858428012363993
  (0, 1003)	0.2119588192688324
  (0, 1143)	0.08318867404004829
  (0, 1156)	0.17278097842461893
  (0, 1205)	0.08414489450693849
  (0, 1231)	0.061322268091131865
  (0, 1264)	0.0977232718708811
  :	:
  (0, 1354)	0.12322422348596615
  (0, 1427)	0.08318867404004829
  (0, 1493)	0.08690842191203003
  (0, 1557)	0.060930419775473296
  (0, 1595)	0.05841832171161168
  (0, 1697)	0.05583744228756508
  (0, 1718)	0.07240189250843822
  (0, 1725)	0.2461278091220848
  (0, 1773)	0.1327241393132735
  (0, 1800)	0.1242370759035327
  (0, 1852)	0.14907206648544777
  (0, 1874)	0.2461278091220848
  (0, 1907)	0.14640732206504345
  (0, 1960)	0.17381684382406007
  (0, 1972)	0.2461278091220848
  (0, 1981)	0.11688859412467671
  (0, 1989)	0.07730568656093423
  (0, 1999)	0.182556806775587
  (0, 2039)	0.19443212312312155
  (0, 2064)	0.15223092286950482
  (0, 2068)	0.182556806775587
  (0, 2144)	0.08157211204414679
  (0, 2178)	0.1994115828523995
  (0, 2235)	0.08989325889791755
  (0, 2265)	0.07874406809197092"
New Balance Women's Fresh Foam Roav V1,4.3,90.0,New Balance,Women,"  (0, 106)	0.08691593494514918
  (0, 111)	0.2645282532492766
  (0, 112)	0.2267137032819156
  (0, 348)	0.11536138557070036
  (0, 355)	0.27181561028208867
  (0, 360)	0.11574686299232838
  (0, 385)	0.18321991949250432
  (0, 458)	0.2851360361041439
  (0, 464)	0.06851920629166146
  (0, 581)	0.10907804840098644
  (0, 695)	0.33549395520034553
  (0, 707)	0.07429038605158647
  (0, 732)	0.14506477981169955
  (0, 766)	0.10141167237007445
  (0, 829)	0.08029597189696727
  (0, 849)	0.2413920185156561
  (0, 1010)	0.3002610609076399
  (0, 1026)	0.14992982174979716
  (0, 1143)	0.11339351445542865
  (0, 1231)	0.16717534143852059
  (0, 1314)	0.08114175383767387
  (0, 1503)	0.1945623780295229
  (0, 1557)	0.08305354683570645
  (0, 1596)	0.16891563360039943
  (0, 1638)	0.22979527232222854
  (0, 1661)	0.1257103859984667
  (0, 1718)	0.0986901779538355
  (0, 1773)	0.06030491042790546
  (0, 1989)	0.2107489652332736
  (0, 2080)	0.1807398997435721
  (0, 2091)	0.14490545615948577
  (0, 2265)	0.10733512375936627"
New Balance Women's Fresh Foam X 1080 V14,4.4,165.0,New Balance,Women,"  (0, 16)	0.11954390963014155
  (0, 98)	0.14531459066714805
  (0, 106)	0.04011049203974688
  (0, 111)	0.06103805017422427
  (0, 119)	0.14531459066714805
  (0, 146)	0.15482578226810742
  (0, 149)	0.08906599880918746
  (0, 196)	0.10917962456967686
  (0, 282)	0.12905510123110092
  (0, 360)	0.02670778166057437
  (0, 369)	0.08127497443029368
  (0, 397)	0.06527185349987964
  (0, 439)	0.15482578226810742
  (0, 445)	0.15482578226810742
  (0, 458)	0.1315863047853982
  (0, 464)	0.06324131657252219
  (0, 515)	0.06743038541578526
  (0, 538)	0.13333190637407244
  (0, 549)	0.11954390963014155
  (0, 559)	0.07751373915708792
  (0, 561)	0.125439114005724
  (0, 590)	0.11279561179505378
  (0, 596)	0.15482578226810742
  (0, 644)	0.06714945409662322
  (0, 660)	0.20925042563321883
  :	:
  (0, 1630)	0.15482578226810742
  (0, 1637)	0.04775765405086522
  (0, 1680)	0.15482578226810742
  (0, 1690)	0.15482578226810742
  (0, 1697)	0.07024867050057247
  (0, 1773)	0.11131950113417716
  (0, 1818)	0.09465852176226307
  (0, 1829)	0.13333190637407244
  (0, 1848)	0.07979295630729344
  (0, 1904)	0.12905510123110092
  (0, 1926)	0.11483667984619396
  (0, 1976)	0.07316464586822807
  (0, 1981)	0.07352833508787171
  (0, 1989)	0.09725770881609659
  (0, 2021)	0.1385662928320603
  (0, 2091)	0.0668718474865273
  (0, 2198)	0.10756122533706593
  (0, 2202)	0.04788014772230823
  (0, 2235)	0.05654701993709318
  (0, 2239)	0.08702493075804728
  (0, 2294)	0.06213954289016878
  (0, 2311)	0.12565230487476797
  (0, 2351)	0.0807704929487168
  (0, 2358)	0.13333190637407244
  (0, 2373)	0.14531459066714805"
New Balance Women's Fresh Foam X 840f V1,4.2,56.0,New Balance,Women,"  (0, 111)	0.11582721941694551
  (0, 348)	0.10102503875946116
  (0, 360)	0.10136261160732715
  (0, 458)	0.12485061165239857
  (0, 462)	0.23209222628670365
  (0, 466)	0.1523348001628624
  (0, 481)	0.12386138278502712
  (0, 549)	0.22684929500806889
  (0, 559)	0.14709186888422762
  (0, 581)	0.0955225530016069
  (0, 707)	0.06505807028225426
  (0, 732)	0.12703709244310418
  (0, 766)	0.08880890326659371
  (0, 829)	0.07031732180564235
  (0, 830)	0.2938009946743228
  (0, 832)	0.19853922998627394
  (0, 849)	0.07046447389689488
  (0, 931)	0.1355401258307202
  (0, 1156)	0.10312370532818596
  (0, 1231)	0.14639990032108421
  (0, 1241)	0.09526450319448741
  (0, 1354)	0.14709186888422762
  (0, 1427)	0.09930172159652619
  (0, 1515)	0.12637693719541646
  (0, 1518)	0.2629466104805132
  (0, 1595)	0.06973353026338724
  (0, 1637)	0.09062603177524328
  (0, 1661)	0.1100879341482828
  (0, 1697)	0.06665275306627146
  (0, 1718)	0.2592768543037487
  (0, 1773)	0.05281061668274826
  (0, 1800)	0.07415045176342093
  (0, 1837)	0.189133129604553
  (0, 1852)	0.1779462530780372
  (0, 1989)	0.27683772532568246
  (0, 2064)	0.1817169572133385
  (0, 2083)	0.14709186888422762
  (0, 2202)	0.09085847860666925
  (0, 2294)	0.11791743753714604
  (0, 2317)	0.2938009946743228
  (0, 2351)	0.15327196039981905"
New Balance Women's Fresh Foam X 880 V12,4.4,116.0,New Balance,Women,"  (0, 20)	0.15448484499520584
  (0, 93)	0.10661606468187138
  (0, 103)	0.08210418095734105
  (0, 106)	0.048014089224924436
  (0, 111)	0.07306533124242154
  (0, 149)	0.10661606468187138
  (0, 190)	0.12067767434289402
  (0, 218)	0.1430995146504351
  (0, 270)	0.16587017533997656
  (0, 313)	0.18533352612012846
  (0, 348)	0.12745584255402753
  (0, 359)	0.16788021578409867
  (0, 360)	0.06394086666301142
  (0, 458)	0.15751481114924962
  (0, 464)	0.07570274165686686
  (0, 473)	0.10417281309013134
  (0, 515)	0.08071724821067511
  (0, 707)	0.04103948518399997
  (0, 762)	0.12363616387028323
  (0, 766)	0.11204364513131918
  (0, 767)	0.18533352612012846
  (0, 789)	0.14014102512304588
  (0, 847)	0.15448484499520584
  (0, 849)	0.08889983117986106
  (0, 915)	0.12694347377967277
  :	:
  (0, 1544)	0.17781653099466888
  (0, 1557)	0.045880429299099516
  (0, 1589)	0.08936485571434978
  (0, 1595)	0.043988826745955736
  (0, 1602)	0.0955158096754941
  (0, 1671)	0.10748012299952088
  (0, 1697)	0.08409086405632855
  (0, 1718)	0.05451841498212621
  (0, 1773)	0.13325452239862845
  (0, 1800)	0.1403252365154401
  (0, 1827)	0.07156070277671012
  (0, 1833)	0.22867236437778554
  (0, 1926)	0.137464745806794
  (0, 1976)	0.08758141962821132
  (0, 1989)	0.17463287302535604
  (0, 2059)	0.18533352612012846
  (0, 2064)	0.11462944321717064
  (0, 2144)	0.06142356368478883
  (0, 2235)	0.06768936312156758
  (0, 2284)	0.10661606468187138
  (0, 2293)	0.09227224480971143
  (0, 2307)	0.12363616387028323
  (0, 2311)	0.07520577124304692
  (0, 2332)	0.15448484499520584
  (0, 2340)	0.08246188872021937"
New Balance Women's Fresh Foam X Cruz Artisan V3,3.9,58.0,New Balance,Women Women,"  (0, 39)	0.22249291468779828
  (0, 360)	0.09233267363497089
  (0, 385)	0.19487566335222753
  (0, 464)	0.2186344009227979
  (0, 466)	0.18501863969560337
  (0, 537)	0.14984530559882303
  (0, 593)	0.16946541031555504
  (0, 670)	0.19909057228612997
  (0, 687)	0.11485607465725223
  (0, 707)	0.0790164535744612
  (0, 1102)	0.2479031677244708
  (0, 1114)	0.1260000728855569
  (0, 1143)	0.12060717202883661
  (0, 1224)	0.3072984883288124
  (0, 1242)	0.18850784712012922
  (0, 1257)	0.21415891993445615
  (0, 1493)	0.1260000728855569
  (0, 1527)	0.28910746991884606
  (0, 1557)	0.08833709281280269
  (0, 1595)	0.08469504602172621
  (0, 1637)	0.2201401794224269
  (0, 1646)	0.2516331949266511
  (0, 1697)	0.08095327982249792
  (0, 1773)	0.160353189975006
  (0, 1803)	0.17668464494226122
  (0, 1820)	0.187319580591018
  (0, 1827)	0.1377812836433006
  (0, 1989)	0.22415600069243524
  (0, 2080)	0.19223787432230952
  (0, 2265)	0.11416336990834489"
New Balance Women's Fresh Foam X Evoz V4,4.4,86.0,New Balance,Women,"  (0, 20)	0.30494724214285224
  (0, 28)	0.10440069159531491
  (0, 103)	0.08103527421125299
  (0, 106)	0.047388998233438125
  (0, 111)	0.07211410044565175
  (0, 229)	0.15247362107142612
  (0, 324)	0.1289915125133056
  (0, 348)	0.06289825335787867
  (0, 360)	0.06310842642757054
  (0, 456)	0.1679885078714569
  (0, 464)	0.07471717465758786
  (0, 481)	0.15423235133260899
  (0, 537)	0.07681328617174238
  (0, 559)	0.1831589821606987
  (0, 593)	0.08687088999391859
  (0, 707)	0.04050519591812262
  (0, 732)	0.03954668725918359
  (0, 766)	0.16587743890098985
  (0, 773)	0.15752650127953227
  (0, 897)	0.36584137213392903
  (0, 916)	0.11183539000535422
  (0, 1107)	0.18292068606696452
  (0, 1114)	0.0645898089202115
  (0, 1138)	0.08399425393572844
  (0, 1143)	0.06182531499664381
  :	:
  (0, 1427)	0.06182531499664381
  (0, 1435)	0.13831654206492305
  (0, 1493)	0.0645898089202115
  (0, 1503)	0.10608084920852778
  (0, 1532)	0.15752650127953227
  (0, 1557)	0.04528311622905373
  (0, 1595)	0.08683228054955958
  (0, 1602)	0.09427229817425586
  (0, 1661)	0.06854081778865617
  (0, 1697)	0.04149804643326452
  (0, 1718)	0.05380864477455662
  (0, 1767)	0.16371072685235533
  (0, 1773)	0.13151969408321487
  (0, 1800)	0.0461661184087398
  (0, 1975)	0.14820147172791479
  (0, 1981)	0.08687088999391859
  (0, 1989)	0.057453114595391604
  (0, 1991)	0.10440069159531491
  (0, 2064)	0.11313709308680622
  (0, 2103)	0.18292068606696452
  (0, 2144)	0.06062389598424197
  (0, 2207)	0.14820147172791479
  (0, 2208)	0.1205281310017062
  (0, 2265)	0.05852211097341882
  (0, 2340)	0.1627766500196317"
New Balance Women's Fresh Foam X Hierro V1 Mid-Cut,4.2,120.0,New Balance,Women Women,"  (0, 4)	0.0741034522869575
  (0, 13)	0.0741034522869575
  (0, 16)	0.11443334919675509
  (0, 30)	0.0600382653552151
  (0, 64)	0.0741034522869575
  (0, 81)	0.06632125812017496
  (0, 93)	0.2131459598155827
  (0, 99)	0.069693995592668
  (0, 103)	0.06565680137320025
  (0, 106)	0.03839574894479369
  (0, 111)	0.08764296564525609
  (0, 116)	0.11443334919675509
  (0, 128)	0.06632125812017496
  (0, 133)	0.057216674598377544
  (0, 158)	0.06381595117801911
  (0, 169)	0.05007621697362126
  (0, 181)	0.0741034522869575
  (0, 186)	0.0741034522869575
  (0, 188)	0.08268933771923354
  (0, 199)	0.0741034522869575
  (0, 204)	0.06632125812017496
  (0, 207)	0.148206904573915
  (0, 211)	0.12763190235603822
  (0, 215)	0.0741034522869575
  (0, 259)	0.031364785155874084
  :	:
  (0, 1979)	0.057216674598377544
  (0, 1981)	0.07038496290608962
  (0, 1989)	0.046549947167791685
  (0, 2064)	0.13749974417394234
  (0, 2083)	0.03709999450391376
  (0, 2091)	0.032006521697900345
  (0, 2098)	0.11443334919675509
  (0, 2123)	0.1848183121028447
  (0, 2146)	0.0695511605260588
  (0, 2148)	0.044079895091117816
  (0, 2153)	0.0741034522869575
  (0, 2161)	0.0741034522869575
  (0, 2195)	0.031364785155874084
  (0, 2202)	0.04583324805798078
  (0, 2219)	0.1801147960656453
  (0, 2231)	0.0741034522869575
  (0, 2248)	0.04668240898623375
  (0, 2261)	0.0600382653552151
  (0, 2265)	0.04741607470970425
  (0, 2284)	0.04262919196311654
  (0, 2311)	0.09021045567439352
  (0, 2326)	0.06632125812017496
  (0, 2351)	0.07731751498667802
  (0, 2360)	0.0695511605260588
  (0, 2362)	0.03992158526075132"
New Balance Women's Fresh Foam X Hierro V8,4.5,113.0,New Balance,Women,"  (0, 106)	0.07623386691026186
  (0, 111)	0.11600871385054849
  (0, 123)	0.19630202330048116
  (0, 335)	0.2272047544977983
  (0, 342)	0.2942613635357081
  (0, 360)	0.050760720426041614
  (0, 458)	0.1250462452103904
  (0, 464)	0.1201962345922351
  (0, 581)	0.09567223121835602
  (0, 707)	0.06516001244815117
  (0, 717)	0.2942613635357081
  (0, 732)	0.12723615208776795
  (0, 829)	0.0704275049090427
  (0, 855)	0.1735277736422918
  (0, 915)	0.2015531699437567
  (0, 1116)	0.10549127423565467
  (0, 1142)	0.24528169341809464
  (0, 1156)	0.10328529410311982
  (0, 1206)	0.16417775769003473
  (0, 1231)	0.14662930034572488
  (0, 1314)	0.07116933927973226
  (0, 1412)	0.1332750264927176
  (0, 1429)	0.1585267588862833
  (0, 1455)	0.21437896222077749
  (0, 1557)	0.07284617072685369
  (0, 1596)	0.1481557086060441
  (0, 1661)	0.11026043545976504
  (0, 1697)	0.13351438801241083
  (0, 1718)	0.08656104195658368
  (0, 1773)	0.10578673561982513
  (0, 1800)	0.07426664115579305
  (0, 1820)	0.1544709443532681
