product,rating,price,brand,gender,sentence_vector
  (0, 1595)	0.08791159654157951
  (0, 1661)	0.13878554569638835
  (0, 1697)	0.08402772545453746
  (0, 1718)	0.10895496098758137
  (0, 1773)	0.06657723493117555
  (0, 1780)	0.3703887413955402
  (0, 1800)	0.18695983335936947
  (0, 1827)	0.1430139445880178
  (0, 1833)	0.11425033425810326
  (0, 2144)	0.12275488909918753"
NIKE Women's WMNS Zoomx Ultrafly,3.3,131.0,Nike,Women,"  (0, 169)	0.35628422783886204
  (0, 348)	0.18129227120148575
  (0, 674)	0.37771333418916214
  (0, 1116)	0.3780217746946291
  (0, 1143)	0.17819973012151785
  (0, 1292)	0.22962326339876277
  (0, 1659)	0.4070874351297109
  (0, 1833)	0.1626309609207964
  (0, 2355)	0.52723414175157"
New Balance Baby-Boy's 530 Bungee,4.3,65.0,New Balance,Unisex,"  (0, 8)	0.2924656326466024
  (0, 45)	0.41340048417857167
  (0, 360)	0.08555268071151809
  (0, 498)	0.2900017709938961
  (0, 1339)	0.3553021856253091
  (0, 1345)	0.46548428978747697
  (0, 1418)	0.41340048417857167
  (0, 2351)	0.25873104258427143
  (0, 2362)	0.2671827561429198"
New Balance Boy's 574 V1 Lace-up,4.5,47.0,New Balance,Unisex,"  (0, 227)	0.17030246745338048
  (0, 348)	0.10648022307674539
  (0, 360)	0.0534180121488887
  (0, 369)	0.1625574009363336
  (0, 464)	0.12648843172061694
  (0, 466)	0.32112125276811987
  (0, 481)	0.1305496917545967
  (0, 581)	0.10068061222613273
  (0, 590)	0.22560156578275462
  (0, 593)	0.14706341196466938
  (0, 707)	0.06857109803334029
  (0, 732)	0.0669484422301003
  (0, 766)	0.09360443655501587
  (0, 849)	0.07426943846457265
  (0, 931)	0.1428590675294704
  (0, 958)	0.1625574009363336
  (0, 975)	0.30966576046140615
  (0, 1231)	0.15430525180711627
  (0, 1241)	0.10040862815798089
  (0, 1242)	0.1635885879482974
  (0, 1264)	0.12295055730034449
  (0, 1294)	0.2508897294826655
  (0, 1314)	0.07489500933723417
  (0, 1427)	0.1046638496489835
  (0, 1493)	0.10934385130182626
  (0, 1515)	0.13320108192548008
  (0, 1557)	0.0766596218538055
  (0, 1595)	0.14699805017751727
  (0, 1637)	0.09551968698536523
  (0, 1661)	0.11603249976550399
  (0, 1718)	0.1821849158974921
  (0, 1800)	0.078154453014462
  (0, 1833)	0.09551968698536523
  (0, 1981)	0.29412682392933875
  (0, 2064)	0.19152937111931165
  (0, 2113)	0.2771452907620588
